Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4
2000,1,1,1,2000,1,24,8760,1,6908,0,0,0
,2,0.9,0.04,1800,,,,2,6307,0,0,0
,3,0.55,0.024,1100,,,,3,6132,0,0,0
,4,0.2,0.003,400,,,,4,6119,0,0,0
,,,,,,,,5,6162,0,0,0
,,,,,,,,6,6322,0,0,0
,,,,,,,,7,6646,0,0,0
,,,,,,,,8,6898,0,0,0
,,,,,,,,9,7223,0,0,0
,,,,,,,,10,7574,0,0,0
,,,,,,,,11,7808,0,0,0
,,,,,,,,12,8064,0,0,0
,,,,,,,,13,8153,0,0,0
,,,,,,,,14,8131,0,0,0
,,,,,,,,15,8152,0,0,0
,,,,,,,,16,8277,0,0,0
,,,,,,,,17,8609,0,0,0
,,,,,,,,18,8868,0,0,0
,,,,,,,,19,9027,0,0,0
,,,,,,,,20,9022,0,0,0
,,,,,,,,21,8907,0,0,0
,,,,,,,,22,8583,0,0,0
,,,,,,,,23,8234,0,0,0
,,,,,,,,24,7842,0,0,0